2021-08-18 18:33:49,991 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AMER - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'AMER'}
2021-08-18 18:33:49,991 | discover | walk | 76 | DEBUG | Accept filename region: AMER
2021-08-18 18:33:49,991 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AMER - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'AMER', 'root': './test2', 'path': './test2\\AMER - Top 10 Assets by Vurlnerabilities - External.pdf'}
2021-08-18 18:33:49,991 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AMER - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'AMER'}
2021-08-18 18:33:49,991 | discover | walk | 76 | DEBUG | Accept filename region: AMER
2021-08-18 18:33:49,991 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AMER - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'AMER', 'root': './test2', 'path': './test2\\AMER - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:49,991 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AMER - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AMER'}
2021-08-18 18:33:49,992 | discover | walk | 76 | DEBUG | Accept filename region: AMER
2021-08-18 18:33:49,992 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AMER - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AMER', 'root': './test2', 'path': './test2\\AMER - TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:49,993 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'APAC - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'APAC'}
2021-08-18 18:33:49,993 | discover | walk | 76 | DEBUG | Accept filename region: APAC
2021-08-18 18:33:49,993 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'APAC - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'APAC', 'root': './test2', 'path': './test2\\APAC - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:49,993 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'APAC TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'APAC'}
2021-08-18 18:33:49,993 | discover | walk | 76 | DEBUG | Accept filename region: APAC
2021-08-18 18:33:49,994 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'APAC TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'APAC', 'root': './test2', 'path': './test2\\APAC TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:49,994 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'APAC- Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'APAC'}
2021-08-18 18:33:49,994 | discover | walk | 76 | DEBUG | Accept filename region: APAC
2021-08-18 18:33:49,994 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'APAC- Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'APAC', 'root': './test2', 'path': './test2\\APAC- Top 10 Assets by Vurlnerabilities - External.pdf'}
2021-08-18 18:33:49,995 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'EMEA - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'EMEA'}
2021-08-18 18:33:49,995 | discover | walk | 76 | DEBUG | Accept filename region: EMEA
2021-08-18 18:33:49,995 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'EMEA - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'EMEA', 'root': './test2', 'path': './test2\\EMEA - Top 10 Assets by Vurlnerabilities - External.pdf'}
2021-08-18 18:33:49,995 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'EMEA - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'EMEA'}
2021-08-18 18:33:49,995 | discover | walk | 76 | DEBUG | Accept filename region: EMEA
2021-08-18 18:33:49,995 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'EMEA - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'EMEA', 'root': './test2', 'path': './test2\\EMEA - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:49,996 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'EMEA - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'EMEA'}
2021-08-18 18:33:49,996 | discover | walk | 76 | DEBUG | Accept filename region: EMEA
2021-08-18 18:33:49,996 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'EMEA - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'EMEA', 'root': './test2', 'path': './test2\\EMEA - TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:49,996 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'GSSC - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'GSSC'}
2021-08-18 18:33:49,996 | discover | walk | 76 | DEBUG | Accept filename region: GSSC
2021-08-18 18:33:49,996 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'GSSC - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'GSSC', 'root': './test2', 'path': './test2\\GSSC - Top 10 Assets by Vurlnerabilities - External.pdf'}
2021-08-18 18:33:49,997 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'GSSC - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'GSSC'}
2021-08-18 18:33:49,997 | discover | walk | 76 | DEBUG | Accept filename region: GSSC
2021-08-18 18:33:49,997 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'GSSC - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'GSSC', 'root': './test2', 'path': './test2\\GSSC - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:49,997 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'GSSC - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'GSSC'}
2021-08-18 18:33:49,998 | discover | walk | 76 | DEBUG | Accept filename region: GSSC
2021-08-18 18:33:49,998 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'GSSC - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'GSSC', 'root': './test2', 'path': './test2\\GSSC - TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:49,998 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'HIDG - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'HIDG'}
2021-08-18 18:33:49,998 | discover | walk | 76 | DEBUG | Accept filename region: HIDG
2021-08-18 18:33:49,999 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'HIDG - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'HIDG', 'root': './test2', 'path': './test2\\HIDG - Top 10 Assets by Vurlnerabilities - External.pdf'}
2021-08-18 18:33:49,999 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'HIDG - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'HIDG'}
2021-08-18 18:33:49,999 | discover | walk | 76 | DEBUG | Accept filename region: HIDG
2021-08-18 18:33:49,999 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'HIDG - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'HIDG', 'root': './test2', 'path': './test2\\HIDG - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:50,000 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'HIDG - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'HIDG'}
2021-08-18 18:33:50,000 | discover | walk | 76 | DEBUG | Accept filename region: HIDG
2021-08-18 18:33:50,000 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'HIDG - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'HIDG', 'root': './test2', 'path': './test2\\HIDG - TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:50,000 | discover | walk | 64 | DEBUG | Walking: ./test2\out, []
2021-08-18 18:33:50,003 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,003 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAES - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,003 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,004 | scanner | scan | 60 | DEBUG | Document path: ./test2\AAES - Top 10 Assets by Vurlnerabilities - External.pdf
2021-08-18 18:33:50,004 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:33:50,004 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test2\AAES - Top 10 Assets by Vurlnerabilities.pdf
